Ruta,OperadOR,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,Año_colision,mes_colision,nuevo_id
"Corunna, Indiana",National Air Transport,Douglas M-4,1,0,1,1,0,1,0,1927,11,4610
"Almeria, Spain",Aeropostale,Breguet 14,1,0,1,1,0,1,0,1927,12,4609
"Near Marseille,France",Latecoere Airlines,Latécoère 23 (flying boat),5,0,5,5,0,5,0,1927,12,4608
"Near Canajoharie, New York",Colonial Western Airlines,Fairchild FC-2,3,1,2,3,1,2,0,1928,1,4607
"Solis, Uruguay",Aeropostale,Latecoere 25,2,0,2,2,0,2,0,1928,1,4606
"L'Hospitalet, Ariège",Aeropostale,Breguet 14,1,0,1,1,0,1,0,1928,1,4605
"Tarragona, Spain",Aeropostale,Breguet 14,2,0,2,2,0,2,0,1928,1,4604
"Almeria, Spain",Aeropostale,Breguet 14,1,0,1,1,0,1,0,1928,1,4603
"Marquette, Nebraska",Boeing Air Transport,Boeing 40,2,1,1,1,1,0,0,1928,2,4602
"Off Cape Griz Nez, France",Air Union,Farman F-60 Goliath,2,0,2,2,0,2,0,1928,3,4601
"Federal, Wyoming",Boeing Air Transport,Boeing 40,2,1,1,1,1,0,0,1928,4,4600
"Minuesa, Spain",Iberia Airlines,Rohrbach Roland,9,7,2,9,7,2,0,1928,4,4599
"Florianopolis, Brazil
Florianopolis, Brazil
Florianopolis, Brazil",Aeropostale,Latecoere 26,5,3,2,1,1,0,0,1928,5,4598
"Dearborn, Minnesota",Ford Air Freight Inc.,Ford 4,2,0,2,2,0,2,0,1928,5,4597
"Radevormwald, Germany",Deutsche Lufthansa,Junkers F-13,5,4,1,3,2,1,0,1928,5,4596
"Frankfurt, Germany",Deutsche Lufthansa,AEGK,5,4,1,5,4,1,0,1928,6,4595
"Lebo, Kansas",National Air Transport,Douglas M-4,1,0,1,1,0,1,0,1928,6,4594
Over the Gulf of Finland,Aero O-Y,Junkers F-13,6,4,2,6,4,2,0,1928,7,4593
"Purley, England",Imperial Airways,Vickers 74 Vulcan,6,5,1,4,4,0,0,1928,7,4592
