Ruta,OperadOR,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,Año_colision,mes_colision,nuevo_id
"Near Zhadanof, Russia",Aeroflot,Yakovlev YAK-40,27,23,4,8,5,3,0,1977,3,1999
"New Hope, Georgia",Southern Airways,McDonnell Douglas DC-9-31,85,81,4,62,60,2,8,1977,4,1998
"SW of Bogota, Colombia",El Venado,Douglas DC-3-3A,35,31,4,35,31,4,0,1977,4,1997
"Tapa AFB, Estonia",Military - Soviet Air Force,Antonov An-24,21,15,6,21,15,6,0,1977,4,1996
"Guatemala City, Guatemala",Aviateca,Convair CV-440,28,22,6,28,22,6,0,1977,4,1995
"Near Jericho, Jordan",Military - Israel Air Force,Sikorsky CH-53D (helicopter),54,50,4,54,50,4,0,1977,5,1994
"Beiruit, Lebanon",LOT Polish Airlines,Antonov An-12BP,9,0,9,9,0,9,0,1977,5,1993
"Near Lusaka, Zambia",IAS Cargo,Boeing 707-321C,6,1,5,6,1,5,0,1977,5,1992
"New York, New York",New  York Helicopter,Sikorsky S61L,25,22,3,4,4,0,1,1977,5,1991
"Havana, Cuba",Aeroflot,Ilyushin IL-62M,69,59,10,67,57,10,0,1977,5,1990
"Natal, Brazil",Military - Brazilian Air Force,Embraer C-95 Bandeirante,18,16,2,18,16,2,0,1977,6,1989
"Salto-Nueva Hesperides, Uruguay",Fuerza Aérea Uruguaya,Embraer 110C Bandeirante,15,13,2,12,10,2,0,1977,6,1988
Off Wake Island,Military - U.S. Navy,Lockheed EC-130Q,16,0,16,16,0,16,0,1977,6,1987
"Saint Louis, Missouri",Fleming International Airways,Lockheed L-188AF Electra,3,0,3,3,0,3,0,1977,7,1986
"Near Cuangar, Angola",Military - Angolan Air Force,Antonov AN-26,30,25,5,30,25,5,0,1977,7,1985
"Vitim, Russia",Aeroflot,Ilyushin IL-14M,40,34,6,40,34,6,0,1977,7,1984
"Jima, Ethiopia",Ethiopian Airlines,Douglas DC-3,5,2,3,5,2,3,0,1977,7,1983
"Near Puerto Montt, Chile",Military - Chilean Air Force,Douglas DC-6B,82,75,7,38,31,7,0,1977,7,1982
"Encino, California",Private KNBC Los Angeles,Bell 206B JetRanger,2,1,1,2,1,1,0,1977,8,1981
"San Jose, Costa Rica",Monarch Aviation,Convair CV-880,3,0,3,3,0,3,0,1977,8,1980
"Kona, Hawaii",Island Airways,Shorts SC-7 Skyvan 3-200,2,0,2,2,0,2,0,1977,8,1979
Off Hong Kong,Transmeridian Air Cargo,Canadair CL-44D4-2,4,0,4,4,0,4,0,1977,9,1978
"Near Cuenca, Ecuador",Servicios Aereos Nacionales Airways,Vickers Viscount 764D,33,29,4,33,29,4,0,1977,9,1977
"Mt. Iliamna, Alaska",Alaska Aeronautical Industries,de Havilland Canada DHC-6 Twin Otter 200,13,11,2,13,11,2,0,1977,9,1976
"Mt. Loi Hsam Hsao, Burma",Burma Airways,de Havilland Canada DHC-6 Twin Otter 300,19,16,3,19,16,3,0,1977,9,1975
"Yakutat, Alaska",Safe Air Cargo,Douglas DC-7BF,4,0,4,4,0,4,0,1977,9,1974
"Near Albuquerque, New Mexico",Military - U.S. Air Force,Boeing - EC-135K,20,0,20,20,0,20,0,1977,9,1973
"Bucharest, Romania",Malev Hungarian Airlines,Tupolev TU-134,53,45,8,29,21,8,0,1977,9,1972
"Kuala Lumpur,  Malaysia",Japan Air Lines,McDonnell Douglas DC-8-62H,79,69,10,34,26,8,0,1977,9,1971
"Near Gillsburg, Mississippi",L & J Company,Convair CV-300,26,24,2,6,4,2,0,1977,10,1970
"San Cristobal de las Casas, Mexico",Servicios Aereos Martinez Leon,Britten-Norman BN-2A-8 Trislander,13,12,1,13,12,1,0,1977,11,1969
"Rome, Italy",Ethiopian Airlines,Boeing 707-360C,5,2,3,5,2,3,0,1977,11,1968
"Near Funchal, Island of Madeira, Portugal",TAP (Air Portugal),Boeing B-727-282,164,156,8,131,125,6,0,1977,11,1967
"Near Bariloche, Argentina",Austral Lineas Aeras (Argentina),BAC One-Eleven 420EL,79,74,5,46,41,5,0,1977,11,1966
"Near Beziers, France",Military - French Air Force,Nord 2501 Noratlas,32,28,4,32,28,4,0,1977,11,1965
"Near Al Bayda, Lebanon",Balkan Bulgarian Airlines,Tupolev TU-154B,165,159,6,59,59,0,0,1977,12,1964
"Straits of Johore, near Kampung Ladang, Malaysia",Malaysia Airlines,Boeing B-737-2H6,100,93,7,100,93,7,0,1977,12,1963
"Intracostal City, Louisiana",Petroleum Helicopter,SNIAS SA330J,19,18,1,17,16,1,0,1977,12,1962
"Tarko-Saley, USSR",Aeroflot,Antonov AN-24,23,18,5,17,13,4,0,1977,12,1961
"Hierro, Canary Islands",Military - U.S. Navy,Lockheed P-3B Orion,13,0,13,13,0,13,0,1977,12,1960
"Evansville, Indiana","National Jet Services Inc.,  (Air Indiana)",Douglas DC-3,29,26,3,29,26,3,0,1977,12,1959
"Near Salt Lake City, Utah",United Air Lines,Douglas DC-8-54F,3,0,3,3,0,3,0,1977,12,1958
"Off Madeira, Portugal",SATA,Aerospatiale Caravelle 10R,57,52,5,36,35,1,0,1977,12,1957
"Vieques, Puerto Rico",Vieques Air Link,Britten-Norman BN-2A Islander,10,9,1,5,5,0,0,1977,12,1956
"Willemstad, Curacao, Netherlands Antilles",Valley Air Service,Piper PA-31-350 Navajo,10,8,2,10,8,2,0,1977,12,1955
"Cuenca, Ecuador",Servicios Aereos Nacionales,Vickers Viscount 764 D,24,20,4,24,20,4,0,1977,12,1954
"Off Bandra, Maharashtra, India",Air India,Boeing B-747-237B,213,190,23,213,190,23,0,1978,1,1953
"Near San Vincente, Colombia",SADELCA,Douglas DC-3,14,10,4,14,10,4,0,1978,1,1952
"Eirunepe, Brazil",TABA,Embraer 110P Bandeirante,14,12,2,2,0,2,0,1978,1,1951
"Near Artigas, Uruguay",Uruguayan Air Force,Douglas C-47A-DL,44,40,4,44,40,4,0,1978,2,1950
"Richland, Washington",Columbia Pacific Airlines,Beechcraft 99,17,15,2,17,15,2,0,1978,2,1949
"Cranbrook, British Columbia, Canada",Pacific Western Airlines,Boeing B-737-275,49,44,5,42,38,4,0,1978,2,1948
"Solvang, California",Security Air,Aero Commander 500A,7,4,3,7,4,3,0,1978,2,1947
"LAX, Los Angeles, California",Continental Airlines,McDonnell Douglas DC-10-10,200,186,14,2,2,0,0,1978,3,1946
"Kano, Nigeria",Nigeria Airways,Fokker F-28 Fellowship 1000 / MiG-21,18,11,7,18,11,7,0,1978,3,1945
"Off Caracas, Venezuela",LAV - Linea Aeropostal Venezolana,British Aerospace 748 2A,47,43,4,47,43,4,0,1978,3,1944
"Vrastsa, Bulgaria",Balkan Bulgarian Airlines,Tupolev TU-134,73,66,7,73,66,7,0,1978,3,1943
"Near Riverside, California",Lake Havasu Air,Cessna T207A,6,5,1,6,5,1,0,1978,3,1942
"Okaraba, Burma",Burma Airways,Fokker F-27 Friendship 200,48,44,4,48,44,4,0,1978,3,1941
"Off Galveston, Texas",Air Logistics,Bell 212,6,4,2,3,3,0,0,1978,4,1940
"St. Thomas, Virgin Islands",Antilles Air,Grumman G-21,9,7,2,2,0,2,0,1978,4,1939
"Near Murmansk, Russia",Korean Airlines,Boeing B-707-321B,109,97,12,2,2,0,0,1978,4,1938
"Bogota, Colombia",LAC Colombia,Douglas C-118A,12,9,3,8,5,3,0,1978,4,1937
"Pensacola, Florida",National Airlines,Boeing B-727-235,58,52,6,3,3,0,0,1978,5,1936
"Pochinok, Russia",Aeroflot,Tupolev TU-154B,134,126,8,4,4,0,0,1978,5,1935
"Saint John's, Newfoundland",Gander Aviation,Beech Queen Air A80,10,8,2,10,8,2,0,1978,6,1934
"Off Bergen, Norway",Helikopter Service,Sikorsky S-61N,18,16,2,18,16,2,0,1978,6,1933
"Toronto, Canada",Air Canada,McDonnell Douglas DC-9-32,107,102,5,2,2,0,0,1978,6,1932
"Sogamoso, Bolivia",Aeropeca,Curtiss C-46,18,15,3,18,15,3,0,1978,8,1931
"Papun, Burma",Burma Airways,de Havilland Canada DHC-6 Twin Otter 300,14,11,3,14,11,3,0,1978,8,1930
"Las Vegas, Nevada",Las Vegas Airlines,Piper PA-31-350 Chieftain,10,9,1,10,9,1,0,1978,8,1929
"Conakry, Guinea",Air Guinee,Ilyushin IL-18,17,9,8,15,8,7,0,1978,9,1928
"Coal Harbour, BC, Canada",AirWest Airlines,de havilland Canada Twin Otter 200,13,11,2,11,9,2,0,1978,9,1927
"Near Kariba, Rhodesia (Zimbabwe)",Air Rhodesia,Vickers Viscount 782D,56,52,4,38,34,4,0,1978,9,1926
"Wrangell, Alaska",Temesco Helicopter - Air Taxi,Soloy 12EJ3,3,2,1,3,2,1,0,1978,9,1925
"Near Mexico City, Mexico",Lineas Areas del Centro,de Havilland Canada DHC-6 Twin Otter 100,21,19,2,18,17,1,0,1978,9,1924
"Whittier, AK",Alaska Travel,de Havilland DHC-2,6,5,1,6,5,1,0,1978,9,1923
"Paranaque, Philippines",Philippine Air Force,Fokker F-27 Friendship 200,28,24,4,21,17,4,12,1978,9,1922
"San Diego, California",Pacific Southwest Airlines / Private,Boeing B-727-214 / Cessna 172,137,128,9,137,128,9,7,1978,9,1921
"Near Kuopio, Finland",Military - Finish Air Force,Douglas C-47A-1-DK,15,12,3,15,12,3,0,1978,10,1920
"Near Mandalay, Myanmar",Burma Airways,Fokker F-27 Friendship 600,44,40,4,2,1,1,0,1978,10,1919
"Sverdlovsk, Russia",Aeroflot,Yakovlev YAK-40,38,34,4,38,34,4,0,1978,10,1918
"Kenai, Alaska",Era Helicopter - Air Taxi,Bell 205-1,7,6,1,2,2,0,0,1978,10,1917
"Gulf of Sivash, USSR",Aeroflot,Antonov AN-24B,26,21,5,26,21,5,0,1978,10,1916
"Near Katunayake, Sri Lanka",Loftleidir Icelandic Airlines,McDonnell Douglas DC-8-Super 63CF,262,249,13,183,175,8,0,1978,11,1915
"Off Marie Galante Island, West Indies",Air Guadeloupe,de Havilland Canada DHC-6 Twin Otter 300,20,19,1,15,14,1,0,1978,11,1914
"Near Leh, India",Military - Indian Air Force,Antonov An-12,77,70,7,77,70,7,1,1978,11,1913
"Near Rubio, Venezuela",Aereo el Venado,Douglas C-47A,27,24,3,27,24,3,0,1978,11,1912
"Hydaburg, Alaska",Tyee Airlines,de Havilland DHC-2,5,4,1,5,4,1,0,1978,11,1911
"Near Steamboat Springs, Coloado",Rocky Mountain Airways,de Havilland Canada DHC-6 Twin Otter 300,22,20,2,2,1,1,0,1978,12,1910
"Selvapiana, Italy",Air 70,Cessna 421 Golden Eagle,10,9,1,10,9,1,0,1978,12,1909
"Hyderabad, India",Indian Airlines,Boeing B-737-2A8,132,126,6,1,1,0,3,1978,12,1908
"Off Cinisi, Sicily, Italy",Alitalia,McDonnell Douglas DC-9-32,129,124,5,108,103,5,0,1978,12,1907
"Portland, Oregon",United Air Lines,McDonnell Douglas DC-8-61,189,181,8,10,8,2,0,1978,12,1906
"Minsk, Russia",Aeroflot,Antonov AN-24N,13,9,5,13,8,5,0,1979,1,1905
"Bechar, Algeria",Air Algerie,Nord 262A-44,23,20,3,14,14,0,0,1979,1,1904
"Rodez, France",Air Rouergue,Fokker F-27 Friendship 500,6,4,2,5,3,2,0,1979,1,1903
"125 miles ENE of Tokyo, Japan",Varig,Boeing B-707-326C,6,0,6,6,0,6,0,1979,1,1902
"Near Agudos, Brazil",TAM Lineas Aéreas Regional,Embraer 110C Bandeirante,18,16,2,18,16,2,0,1979,2,1901
"Near Kariba, Rhodesia",Air Rhodesia,Vickers Viscount 748D,59,54,5,59,54,5,0,1979,2,1900
"Clarksburg, West Virginia",Allegheny Airlines,Nord 262,25,22,3,2,1,1,0,1979,2,1899
"Manakau Harbor, New Zealand",Air New Zealand,Fokker F-27 Friendship 500,4,2,2,2,1,1,0,1979,2,1898
"Barentu, Ethiopia",Ethiopian Airlines,Douglas DC-3,5,2,3,5,2,3,0,1979,2,1897
"Gulfport, Mississippi",Universal Airways,Beech BE-70,8,7,1,8,7,1,0,1979,3,1896
"Off Marina del Rey, California",Swift Aire Lines Inc.,Aerospatiale Nord 262A-33,7,4,3,3,1,2,0,1979,3,1895
"Bejing, China",CAAC,Hawker Siddeley Trident 2E,12,0,12,12,0,12,32,1979,3,1894
"Near Doha Airport, Qatar",Alia Royal Jordanian Airlines,Boeing B-727-2D3,64,49,15,45,41,4,0,1979,3,1893
"Near Moscow, Russia",Aeroflot,Tupolev TU-104B,119,113,6,58,57,1,0,1979,3,1892
"Luanda, Angola",Interflug,Ilyushin IL-18D,10,6,4,10,6,4,0,1979,3,1891
"Ste. Foy, PQ, Canada",Quebecair,Fairchild F-27,24,21,3,17,14,3,0,1979,3,1890
"Off Avalon, California",Catalina Airlines,Grumman G-21 Goose,11,10,1,1,1,0,0,1979,4,1889
"Newark, New Jersey",New York Airways,Sikorsky S61-L,18,15,3,3,3,0,0,1979,4,1888
"Near Cuenca, Ecuador",SAETA,Vickers Viscount 785D,57,52,5,57,52,5,0,1979,4,1887
"Bullen Point, Alaska",Sea Airmotive,de Havilland Canada DHC-4A Caribou,3,0,3,3,0,3,0,1979,5,1886
"Chicago O'Hare, Illinois",American Airlines,McDonnell Douglas DC-10-10,271,258,13,271,258,13,2,1979,5,1885
"Off Dakar, Senegal",Military - Mauritanian Air Force,de Havilland Canada DHC-5D Buffalo,12,7,5,12,7,5,0,1979,5,1884
"Rockland, Maine",Downeast Airlines,de Havilland DHC-6-200,18,16,2,17,15,2,0,1979,5,1883
"Near Leh, India",Military - Indian Air Force,Hindustan Aeronautics 748-2M,27,0,27,27,0,27,0,1979,6,1882
"Hyannis, Massachusetts",Air New England,de Havilland Canada DHC-6 Twin Otter 300,10,8,2,1,0,1,0,1979,6,1881
"Near Medan Airfield, Indonesia",Garuda Indonesia Airlines,Fokker F-28 Fellowship 1000,61,57,4,61,57,4,0,1979,7,1880
"Bua, Fiji",Fiji Air Services,Britten Norman BN-2A Trislander,9,8,1,9,8,1,0,1979,7,1879
"Anchorage, Alaska",Soldotna Air Services,Cessna 402B,7,6,1,7,6,1,0,1979,7,1878
"Beirut, Lebanon",Trans Mediterranean Airways,Boeing 707-327C,6,0,6,6,0,6,0,1979,7,1877
"St. Croix, Virgin Islands",Prinair,de Havilland DH-114 Heron,21,19,2,8,7,1,0,1979,7,1876
"Off Sumburgh, Shetlands, Scotland",Dan Air Services,Hawker Siddeley HS-748-1,47,44,3,17,15,2,0,1979,7,1875
"Canton, Ohio",Private,Cessna  501 Citation,3,2,1,1,0,1,0,1979,8,1874
"Leningrad, USSR",Aeroflot,LET 410M turbojet,14,12,2,14,12,2,0,1979,8,1873
"Near Panvel, India",Indian Airlines,Hindustan Aeronautics 748 2-224,45,40,5,45,40,5,0,1979,8,1872
"Near Volgograd, Russia",Aeroflot / Aeroflot,Tupolev TU-134A / Tupolev Tu-134A,178,155,13,178,155,13,0,1979,8,1871
"Near Enisseysk, USSR",Aeroflot,Antonov AN-12,16,10,6,11,5,6,0,1979,8,1870
"Near Kirsanov, Russia",Aeroflot,Tupolev TU-124,63,58,5,63,58,5,0,1979,8,1869
"Andema, Russia",Aeroflot,Antonov AN-24,44,37,7,40,35,5,0,1979,9,1868
"Off Taipei, Taiwan",China Airlines (Taiwan),Boeing 707-324C,6,0,6,6,0,6,0,1979,9,1867
"Near Klamath Falls, Oregon",Butler Aviation Inc.,Douglas DC-7,12,10,2,12,10,2,0,1979,9,1866
"Near Sarroch,  Italy",Aero Transporti Italiani,McDonnell Douglas DC-9-32,31,27,4,31,27,4,0,1979,9,1865
"Blink Horn Point, Canada",Pacific Coastal Airlines,Britten Norman BN-7A lslander,9,8,1,4,8,1,0,1979,9,1864
"Merced, California",Military - U.S. Air Force,Boeing KC-135A,5,0,5,5,0,5,0,1979,9,1863
"Porpoise Bay, British Columbia Canada",West Coast Air,de Havilland Canada DHC-6 Twin Otter 200,16,14,2,2,1,1,0,1979,9,1862
"Athens, Greece",Swissair,McDonnell Douglas DC-8-62,156,145,11,14,14,0,0,1979,10,1861
"Covington, Kentucky",Comair,Piper PA-31,8,7,1,8,7,1,0,1979,10,1860
"Lensk, Russia",Aeroflot,Antonov An-2TP,12,10,2,3,2,1,0,1979,10,1859
"Mexico City, Mexico",Western Airlines,McDonnell Douglas DC-10-10,88,77,11,72,63,9,1,1979,10,1858
"Near Chicago, Illinois",American Airlines,Boeing B-727,78,72,6,0,0,0,0,1979,11,1857
"Vologda, Russia",Aeroflot,Yakovlev YAK-40,5,0,5,3,0,3,0,1979,11,1856
"Granger, Utah",Transamerica Airlines,Lockheed L-188CF Electra,3,0,3,3,0,3,0,1979,11,1855
"Near At Ta'if, Jeddah, Saudi Arabia",Pakistan International Airlines,Boeing B-707-340C,156,145,11,156,145,11,0,1979,11,1854
"Near Mt. Erebus, Ross Ice Shelf, Antarctica",Air New Zealand,McDonnell Douglas DC-10-30,257,237,20,257,237,20,0,1979,11,1853
"San Andres Island, Colombia",Aerolineas La Gaviola,Grumman G-21 Goose,9,7,2,9,7,2,0,1979,11,1852
"Cherskiy, Russia",Aeroflot,Antonov AN-26,7,2,5,7,2,5,0,1979,12,1851
"Cerro Toledo Mountain, Colombia",SATENA,Douglas DC-4 (C-54),21,16,5,21,16,5,0,1979,12,1850
"Near Puerto Esperanza, Peru",Fuerza Aérea del Peru,de Havilland Canada DHC-5 Buffalo,29,24,5,29,24,5,0,1979,12,1849
"Ankara, Turkey",Turkish Airlines (THY),Fokker F-28 Fellowship 1000,45,41,4,41,38,3,0,1979,12,1848
"Menari, Papua New Guinea",Douglas Airways,GAF Nomad 22B,16,14,2,16,14,2,0,1979,12,1847
Haiti,Haïti Air Inter,Britten Norman BN Islander,9,8,1,9,8,1,0,1980,1,1846
Over the Atlantic Ocean,Private charter,Cessna 441 Conquest,2,1,1,2,1,1,0,1980,1,1845
"Shungnak, Alaska",Ambler Air Service,Cessna 185A,9,8,1,7,6,1,0,1980,1,1844
"Elburz Mtns., near Tehran, Iran",Iran Air,Boeing B-727-86,128,120,8,128,120,8,0,1980,1,1843
"Mt. Cemonyet,  Indonesia",Pelita Air Service,CASA 212 Aviocar 100,13,10,3,13,10,3,0,1980,1,1842
"Baracoa, Cuba",Cubana de Aviacon,Yakovlev YAK-40,37,33,4,1,1,0,0,1980,2,1841
"Leeville, Louisiana",Rotor Airs Inc - Air Taxi,Sikorsky S-62A,7,6,1,6,6,0,0,1980,2,1840
"Sydney, NSW, Australia",Advance Airlines,Beechcraft Super King Air 200,13,12,1,13,12,1,0,1980,2,1839
"Manila, Philippines",China Airlines (Taiwan),Boeing B-707-309C,135,124,11,2,2,0,0,1980,2,1838
"Near Warsaw, Poland",LOT Polish Airlines,Ilyushin IL-62,87,77,10,87,77,10,0,1980,3,1837
"Near Yenice, Turkey",Military - U.S. Air Force,Lockheed C-130H,18,12,6,18,12,6,0,1980,3,1836
"Houston, Texas",Eagle Commuter,Piper PA-28-180,10,8,2,7,5,2,0,1980,3,1835
"Florianopolis, Brazil",Transbrasil,Boeing B-727-27C,58,50,8,55,47,8,0,1980,4,1834
"Krasnoyarsk, Russia",Aeroflot,Antonov An-24B,53,49,4,2,2,0,0,1980,4,1833
"Posht-i-Badam, Iran",Military - U.S. Air Force,Lockheed EC-130E Hercules,7,0,7,5,0,5,0,1980,4,1832
"Tenerife, Canary Islands",Dan Air Services,Boeing B-727-64,146,138,8,146,138,8,0,1980,4,1831
"Don Muang, Thailand",Thai Airways,Hawker Siddeley HS-748-2,53,49,4,44,40,4,0,1980,4,1830
"Near Yachiba, Bolivia",Lloyd Aereo Boliviano,Fairchild F-27J,13,10,3,13,10,3,0,1980,6,1829
"Near Matala, Angola",Lineas Aereas de Angola,Yakovlev YAK-40,29,25,4,29,25,4,0,1980,6,1828
"Near Dushanbe, Russia",Aeroflot,Yakovlev YAK-40,29,25,4,29,25,4,0,1980,6,1827
"Valley, Nebraska",Air Wisconsin,Swearingen 226TC Metro II,15,13,2,13,11,2,0,1980,6,1826
"Tyrrhenian Sea,  off Ustica, Italy",Itavia,McDonnell Douglas DC-9-15,81,77,4,81,77,4,0,1980,6,1825
"Near Alma-Ata, Kazakhstan, USSR",Aeroflot,Tupolev TU-154B,166,156,10,166,156,10,0,1980,7,1824
"Cerro Lilio, Mexico",Aeronaves del Peru,Douglas DC-8-43F,7,0,7,3,0,3,0,1980,8,1823
"Houma, Louisiana",Air Logistics,Bell 205A-1 helicopter,13,12,1,13,12,1,0,1980,8,1822
"Nouadhibou, Mauretania",Tarom,Tupolev TU-154B-1,168,152,16,1,1,0,0,1980,8,1821
"Riyadh, Saudi Arabia",Saudi Arabian Airlines,Lockheed 1011-200 TriStar,301,287,14,301,287,14,0,1980,8,1820
"Near Jakarta, Indonesia",Bouraq Indonesia Airlines,Vickers Viscount 812,37,31,6,37,31,6,0,1980,8,1819
"Near Montelimar, France",Military - Kuwait Air Force,Lockheed L-100-20 Hercules,8,0,8,8,0,8,0,1980,9,1818
"Puerto Olaya, Colombia",Aeronorte Colombia,Douglas C-47,3,0,3,3,0,3,0,1980,9,1817
"Off Freeport, Bahamas",Florida Commuter Airlines,Douglas DC-3,34,30,4,34,30,4,0,1980,9,1816
"Kindu, Zaire",Military - Force Aérienne Zaïroise,Lockheed Hercules C-130,36,31,5,36,31,5,0,1980,9,1815
"Near Medina, Saudi Arabia",Military - Royal Saudi Air Force,Lockheed C-130E,89,81,8,89,81,8,0,1980,9,1814
"Near Kindu, Zaire",Military - Zairean Air Force,de Havilland DHC-5 Buffalo,36,34,2,36,34,2,0,1980,9,1813
"Near Cairo, Egypt",Military - U.S. Air Force,Lockheed C-141A,13,7,6,13,7,6,0,1980,11,1812
"Seoul, South Korea",Korean Airlines,Boeing B-747-2B5B,226,212,14,15,9,6,0,1980,11,1811
"Near Medellin, Colombia",F.R. de la Direccion General de Ados,Douglas C-47A-35-DL,20,3,17,20,3,17,0,1980,11,1810
"Pecos City, Texas",Central Air Services,Douglas DC-7B,2,0,2,2,0,2,0,1980,11,1809
"Dar es Salaam, Tanzania",Tanzania Aviation,Piper PA-42 Cheyenne,10,9,1,10,9,1,0,1980,12,1808
"Near Rio Hacha, Colombia",Transportes Aereos del Caribe,Aerospatiale Caravelle 6R,70,63,7,70,63,7,0,1980,12,1807
"Qatar, Qatar",Saudi Arabian Airlines,Lockheed L-1011-200,291,271,20,2,2,0,0,1980,12,1806
"Ramstein AFB, West Germany",Military - U.S. Air Force,Lockheed C-130E Hercules,11,2,7,11,2,7,0,1981,1,1805
"Spokane, Washington",Cascade Airways,Beechcraft 99A,9,7,2,7,5,2,0,1981,1,1804
"Near Leningrad, Russia",Military - Soviet Navy,Tupolev TU-104A,52,46,6,52,46,6,0,1981,2,1803
"White Plains, New York",Private - Corporate,Lockheed 1339,8,6,2,8,6,2,0,1981,2,1802
"Avalon, California",Helicopter - Air Taxi,Sikorsky S-62A,8,7,1,2,2,0,0,1981,2,1801
"Belem, Brazil",VOTEC,Embraer 110P Bandeirante,14,12,2,11,9,2,0,1981,2,1800
Off Tabones Island  Philippines,Military - U.S. Air Force,Lockheed MC-130E-Y,24,15,9,23,15,8,0,1981,2,1799
"Moroni, Comoro Islands",Military - French Naval Aviation,Dassault-Breguet Atlantique,18,14,4,18,14,4,0,1981,3,1798
"Redzikowo, Poland",LOT Polish Airlines,Antonov AN-24B,52,47,5,1,1,0,0,1981,3,1797
"Laguna Soliz, Bolivia",Urcupina,Douglas C-47A,7,4,3,7,4,3,0,1981,4,1796
"Cincinnati, Ohio",Freedom International,Learjet 23,2,0,2,1,0,1,0,1981,4,1795
"Loveland, Colorado",Air US / Private,Hadley Page 137Jetstream I / Cessna 206,19,15,4,15,12,3,0,1981,4,1794
"Pekanbaru, Indonesia",Private - Airfast Indonesia,Douglas C-47A-5-DK,17,13,4,15,11,4,0,1981,4,1793
"Batagay, Russia",Aeroflot,Antonov An-2TP,12,10,2,12,10,2,0,1981,4,1792
"Near Fredrick, Maryland",Military - U.S. Air Force,Boeing EC-135N,21,3,18,21,3,18,0,1981,5,1791
"Rio de la Plata, Argentina",Austral Lineas Aeras (Argentina),BAC One-Eleven 529FR,31,26,5,31,26,5,0,1981,5,1790
"Near Menongue, Angola",TAAG Angola Airlines,Lockheed L-100-20 Hercules,4,0,4,4,0,4,0,1981,5,1789
"Pinarete Mountain, Mexico",Lineas Aereas,Convair CV-440-11,24,21,3,24,21,3,0,1981,5,1788
"Near Zumba, Ecuador",TAME,de Havilland Canada DHC-6 Twin Otter 300,18,15,3,18,15,3,0,1981,5,1787
"Cairo, Egypt",Military - Egyptian Air Force,Lockheed C-130H Hercules,17,11,6,17,11,6,0,1981,5,1786
"Ust-Barguzin, Russia",Aeroflot,Ilyushin Il-14,48,44,4,48,44,4,0,1981,6,1785
"Nailstone, England",Dan Air Services,Hawker Siddeley HS-748,3,0,3,3,0,3,0,1981,6,1784
"Near Yerevan, Armenia",TAR,Canadair CL-44D4-6,4,1,3,4,1,3,0,1981,7,1783
"Mogadishu, Somalia",Somali Airlines,Fokker F-27 Friendship 600RF,50,44,6,50,44,6,0,1981,7,1782
Madagascar,Air Madagascar,de Havilland Canada DHC-6 Twin Otter 300,19,17,2,19,17,2,0,1981,7,1781
"Caruru, Colombia",Transamazonica,Douglas C-53D-DO,9,5,4,5,5,0,0,1981,7,1780
"Chihuahua, Mexico",Aeromexico,McDonnell Douglas DC-9-32,66,60,6,32,30,2,0,1981,7,1779
"Near Sanyi, Miao-li, Taiwan",Far Eastern Air Transport,Boeing B-737-222,110,104,6,110,104,6,0,1981,8,1778
"Near Zavitinsk, Russia",Aeroflot / Military - Russian Air Force,Antonov AN-24RV / Soviet Air Force TU-16,32,27,5,31,26,5,0,1981,8,1777
"Mt. Elena, Colombia",Aeropesca Colombia,Vickers Viscount 745D,50,44,6,50,44,6,0,1981,8,1776
"Zeya, Russia",Aeroflot,Yakovlev YAK-40,34,29,5,3,1,2,0,1981,8,1775
"Paipa, Colombia",Aereo el Venado,Embraer 110P1 Bandeirante,22,19,3,21,18,3,0,1981,9,1774
"Zeleznogorsk, Russian",Aeroflot /Military - Russian,Yakovlev YAK-40 / Mil Mi-8,40,29,11,40,29,11,0,1981,9,1773
"Nellis AFB, Nevada",Military - U.S. Air Force,Lockheed C-130H Hercules,70,61,9,7,7,0,0,1981,9,1772
"Tehran, Iran",Military - Iranian Air Force,Lockheed C-130H,80,75,5,60,75,5,20,1981,9,1771
"Casper, Wyoming",Sky Train Air,Learjet 24,3,1,2,3,1,2,0,1981,10,1770
"Moerdijk, Netherlands",NLM (Nederlandse Luchtvaart Maatschappij),Fokker F-28 Fellowship 4000,17,13,4,17,13,4,0,1981,10,1769
"St. Thomas, U.S. Virgin Islands",Aerolineas Argo,Lockheed L-749A Constellation,5,2,3,5,2,3,0,1981,10,1768
"Bafoussam, Cameroon",Cameroon Airlines,de Havilland Canada DHC-6 Twin Otter 300,24,22,2,1,1,0,0,1981,10,1767
"Sierra de Guerro, Mexico",Aeromexico,McDonnell Douglas DC-9-32,18,12,6,18,12,6,0,1981,11,1766
"Norilsk, Russia",Aeroflot,Tupolev TU-154B-2,167,160,7,99,95,4,0,1981,11,1765
"Biratnagar, Nepal",Royal Nepal Airlines,Pilatus PC-6/B2-H2 Turbo-Porter,10,9,1,10,9,1,0,1981,11,1764
"Castries, Saint Lucia Island",Guyana Airways,Douglas DC-6A,3,0,3,3,0,3,0,1981,11,1763
"Mt. San Pietro, near Ajaccio, Corsica, France",Inex Adria Aviopromet (Yugoslavia),McDonnell Douglas MD-81,180,173,7,180,173,7,0,1981,12,1762
"Honolulu, Hawaii",Private - Parajump air show,Beech C-45H,12,11,1,11,10,1,0,1981,12,1761
